SHA_ms,Division_ms,HMAC_ms,Total_ms
5.592,0.000,0.200,5.792
5.146,0.000,0.103,5.249
4.497,0.000,0.092,4.589
4.438,0.000,0.090,4.529
4.452,0.000,0.090,4.543
4.414,0.000,0.091,4.505
4.445,0.000,0.091,4.537
4.414,0.000,0.089,4.504
4.492,0.000,0.091,4.583
4.476,0.000,0.118,4.594
4.480,0.000,0.093,4.573
4.512,0.000,0.092,4.605
4.419,0.000,0.092,4.511
4.373,0.000,0.092,4.465
4.402,0.000,0.090,4.492
4.420,0.000,0.102,4.522
4.443,0.000,0.090,4.534
4.376,0.000,0.090,4.467
4.416,0.000,0.102,4.519
4.443,0.000,0.090,4.533
